Version	Grade	Origin Text	Component	Edited	id	Sub Genre	Genre
13	ULTIMATE Collector's Edition		KOMPLETE KONTROLソフトウェア	TRUE	75		プラットフォーム
13	ULTIMATE Collector's Edition		REAKTOR 6	TRUE	127		プラットフォーム
13	ULTIMATE Collector's Edition		KONTAKT 6	TRUE	77		プラットフォーム
13	ULTIMATE Collector's Edition		MASSIVE	TRUE	92		シンセサイザー
13	ULTIMATE Collector's Edition		MONARK	TRUE	105		シンセサイザー
13	ULTIMATE Collector's Edition		RETRO MACHINES MK2	TRUE	133		シンセサイザー
13	ULTIMATE Collector's Edition		REAKTOR PRISM	TRUE	129		シンセサイザー
13	ULTIMATE Collector's Edition		REAKTOR SPARK	TRUE	130		シンセサイザー
13	ULTIMATE Collector's Edition		BLOCKS PRIMES	TRUE	25		シンセサイザー
13	ULTIMATE Collector's Edition		MASSIVE X	TRUE	93		シンセサイザー
13	ULTIMATE Collector's Edition		SUPER 8	TRUE	172		シンセサイザー
13	ULTIMATE Collector's Edition		TRK-01	TRUE	197		シンセサイザー
13	ULTIMATE Collector's Edition		FORM	TRUE	56		シンセサイザー
13	ULTIMATE Collector's Edition		ROUNDS	TRUE	136		シンセサイザー
13	ULTIMATE Collector's Edition		KONTOUR	TRUE	79		シンセサイザー
13	ULTIMATE Collector's Edition		ABSYNTH 5	TRUE	7		シンセサイザー
13	ULTIMATE Collector's Edition		FM8	TRUE	55		シンセサイザー
13	ULTIMATE Collector's Edition		RAZOR	TRUE	124		シンセサイザー
13	ULTIMATE Collector's Edition		SKANNER XT	TRUE	159		シンセサイザー
13	ULTIMATE Collector's Edition		POLYPLEX	TRUE	116		クリエイティブサンプラー
13	ULTIMATE Collector's Edition		BATTERY 4	TRUE	24		クリエイティブサンプラー
13	ULTIMATE Collector's Edition		FLESH	TRUE	54		クリエイティブサンプラー
13	ULTIMATE Collector's Edition		ETHEREAL EARTH	TRUE	49	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		HYBRID KEYS	TRUE	67	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		LO-FI GLOW	TRUE	82	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		CLOUD SUPPLY	TRUE	32	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		MODULAR ICONS	TRUE	101	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ANALOG DREAMS	TRUE	13	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		BUTCH VIG DRUMS	TRUE	26	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		THE GENTLEMAN	TRUE	188	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		THE GRANDEUR	TRUE	190	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		THE MAVERICK	TRUE	191	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		THE GIANT	TRUE	189	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		NOIRE	TRUE	110	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		UNA CORDA	TRUE	199	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ALICIA'S KEYS	TRUE	10	アコースティックピアノ	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		DRUMLAB	TRUE	45	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ABBEY ROAD 60S DRUMMER	TRUE	2	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		STUDIO DRUMMER	TRUE	171	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ABBEY ROAD 50S DRUMMER	TRUE	1	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ABBEY ROAD VINTAGE DRUMMER	TRUE	6	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ABBEY ROAD 70S DRUMMER	TRUE	3	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ABBEY ROAD 80S DRUMMER	TRUE	4	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ABBEY ROAD MODERN DRUMMER	TRUE	5	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		MASCHINE DRUM SELECTION	TRUE	91	ドラム＆パーカッション	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		WEST AFRICA	TRUE	208	ワールドインストゥルメント	サンプルインストゥルメント
